=================== 正面和负面 同时存在的词  ===================
34-ياخشى بولاتتى=正面=6.482103304319001
5819-ياخشى كۆرەتتىم=正面=3.660824515236466
5831-قادىر ئەمەس=正面=2.2525430436243985
5849-ئىنكاس يېزىپ=负面=-7.818055993847392
5893-سەت تۇرا=负面=-1.0143871057873755
5905-نۇرغۇن نەرسىلەرنى=正面=5.942209169081079
5918-تېخىمۇ زور=负面=-1.6666505978979913
5959-ماتىرىيال ئىكەن=正面=9.798580939377766
5993-بەك كۆپكەن=正面=1.6631991647497664
5999-دىققەت قىلىش=正面=7.910835519167833
6203-ھىس قىلىۋاتىمەن=中立=-0.053866871978736075
6209-ياخشى تىلەكلەر=正面=6.864697420783754
6273-كۈچلۈك بولسا=中立=0.34550503132882415
6314-ئىش ئىكەن=正面=9.281731531905738
6416-پۇرسەت يارىتىپ=中立=0.8534695931788603
6576-كۆپ پۇل=中立=0.9856128942126241
6690-گەپ كەتمەيدۇ=正面=15.145916120790162
6720-ئاق كۆڭۈل=正面=9.601631761708164
6954-تىخىمۇ كۆپ=中立=0.9856128942126241
7026-كىچىك ۋاقتىمدا=负面=-3.724429233049702
7029-ئېنىق ئەمەس=正面=1.7177857734701085
7055-تەن ساقلىق=负面=-1.1472259531831774
7107-ھەل قىلىش=负面=-15.685236777548683
7162-ئاتا قىلغاي=负面=-1.4994472454359968
7178-ئىنتايىن مۇھىم=正面=11.67660015120301
7213-ھەيران قالارلىق=中立=0.6345158946258795
7234-ياخشى تەرەپ=正面=5.892437284002954
7271-سەپتىن چۈشۈپ=负面=-3.7640461230954347
7315-تازا ياخشى=中立=0.7717163154524389
7375-ياخشى ئادەملەر=负面=-4.341036917835067
7378-ئاپتۇنۇم رايۇنلۇق=负面=-4.0435990270038635
7401-خەت يېزىپ=负面=-2.08632348249928
7472-مەيدانغا كەلگەن=正面=8.272236883401927
7569-چوڭ بولغان=正面=9.887467516819573
7578-ئوخشاش بول=正面=11.895026147924565
7600-دىققەت قىلىپ=正面=12.814873909529704
7653-كىچىك ۋاقتى=正面=2.56925171121964
7671-غەلبە قىلىش=负面=-9.2734523682388
7695-مەنىۋى ئوزۇق=正面=10.329869237140946
7792-ئىش بولۇپ=负面=-6.301593326755482
7799-بەك قىززىق=负面=-1.263027597652243
7832-جەلىپ قىلىش=正面=9.980652199693084
7931-ئەڭ كۈچلۈك=正面=22.096008961426907
7943-ئەڭ چوڭ=负面=-6.627837624800751
7991-چېكى يوق=正面=1.8534695931788612
8029-بەك ھەيران=负面=-2.5959754934435737
8162-قوش تىللىق=正面=3.0396237729052524
8198-ئەينى ۋاقىتتا=正面=10.972222662279222
8280-ھەرگىز بولمايدۇ=负面=-4.210248896413314
8366-ئاللاھ ئاسانلىق=正面=1.1527582334993953
8399-تىلىدا يازغان=正面=1.6481803059842415
8422-يوق ئەمەس=正面=5.307572584997858
8459-نەق مەيداندا=负面=-2.0502114459537677
8482-تىگىشلىك ئىش=负面=-14.441481845188699
8486-ئەڭ قايىل=正面=2.648180305984242
8525-گۈزەل ئەخلاق=正面=3.2903876259624703
8638-ئۇيغۇرلارنىڭ مىللى=中立=-0.3914605628373824
8670-ئىش قىلسا=负面=-1.2069185901294404
8714-چوڭ بولىدۇ=正面=4.80601551902371
8744-خەۋەردار بولۇپ=正面=1.7716526454488446
8800-قىرغىن قىلىش=负面=-1.7909914758487169
8813-ئېلان قىلىنغان=正面=10.658126409967636
8819-ھەقىقى مۇھەببەت=负面=-1.1812090991109834
8861-چەت ئەل=负面=-1.4339386002927847
8877-قىممىتىنى ھەقىقىي=正面=1.3247423260392424
8902-نۇرغۇن كىشىلەرنى=正面=7.7812831089786645
8922-پۇرسەت بىرىشى=正面=3.660824515236465
8949-ئىش بولا=正面=22.02070492945017
8958-ئەڭ مۇھىم=正面=5.806287754899818
8960-پايدىسى يوق=负面=-1.4293761866001091
9190-نەق مەيداندىن=中立=-0.8383708822469842
9358-ئەڭ يىڭى=中立=-0.26022017468191416
9399-قارار قىل=负面=-1.6571825071149737
9423-چۇڭقۇر مەنىگە=正面=10.649354550689388
9435-كەن بۇلا=中立=-0.21190924058538485
9495-غا مۇبارەك=正面=5.422463792605518
9498-نادىر فىلىم=负面=-7.706807109579223
9521-تۇغرا دەيسىز=负面=-2.719447832908176
9563-ھاسىل قىلىپ=正面=1.324742326039242
9603-ساختا مال=正面=6.068856460228753
9659-جارى قىلدۇرۇپ=正面=4.808471662593778
9681-زىيارەت قىلغان=中立=-0.49991419340430454
9699-ئىش قىلدى=正面=3.9186998978981515
9717-داڭلىق شەخىس=正面=10.38159304909185
9720-ئەمەلىي ھەرىكىتى=中立=-0.8383708822469842
9844-كۆڭلۈڭنى يېرىم=负面=-5.035623909730721
9854-ئامال با=负面=-6.648661832574918
9864-كۆپ بولغان=正面=1.9233787183970872
9886-ياخشى دەپ=负面=-4.961778384857026
9895-تەتقىق قىلىپ=正面=9.093917412330551
9902-كۆپ قىسىم=正面=2.2094711855838884
9946-تەرەققىي قىلىشىغا=中立=-0.15919859484925336
9954-تورىغا كىرىپ=正面=4.402241180612959
9977-ئىشلىرىنى ئاسان=正面=2.654992099140327
10127-خاتالىقى ئەمەس=负面=-1.6388293726998926
10234-تەس ئىش=负面=-3.770073905978146
10276-بار يەر=负面=-15.702089002317063
10317-بىرلەشمە لوڭقىسىنى=中立=0.06960546748586705
10333-ئىنتايىن تەپسىلى=中立=-0.3914605628373806
10345-رىقابەتچىسى يوق=中立=-0.3914605628373824
10368-ئەينى چاغدا=负面=-4.794307763724905
10438-ۋاقتى كەلگەندە=负面=-1.3431979463362262
10448-بەك ئاز=正面=10.444719568446677
10465-گەپ بار=负面=-2.98844139598809
10493-تورغا چىقىپ=正面=2.120573663321701
10510-توپ ئۇردى=正面=2.120573663321701
10539-ئەڭ كۆپ=负面=-2.6931199001987283
10557-سالامەت قىلغاي=正面=1.6481803059842415
10578-خاسىيەتلىك ئىش=负面=-1.514932902301985
10692-تەسىر قىلغان=负面=-1.0026495784139495
10695-شارائىت يارىتىپ=正面=7.865553216321353
10696-ئۆكۈنمەيدىغان ئىش=中立=0.9856128942126245
10697-ئىش قىلىش=正面=8.562201208822298
10825-زور بەخىت=负面=-2.357353190445525
10833-ئاساسىي جەھەتتىن=中立=0.07521009244781585
10895-ئۇزۇن بولدى=正面=2.265297685849658
10945-ئۈستىگە ئالغان=中立=-0.3914605628373824
11158-قولغا كەلتۈرۈش=负面=-2.4574683924261684
11208-ئەل سۆيگەن=正面=10.431764730019198
11258-ئامال بار=负面=-6.648661832574916
11288-ھەل قىلىشقا=正面=6.917437223169912
11337-باشقىلارغا ياردەم=正面=7.971483970008731
11368-ئاياللار گۈزەل=中立=0.9856128942126245
11405-بەك تۆۋەن=负面=-2.9096135839155064
11452-يېرىم سائەت=正面=12.096321283645004
11475-ھەقىقىي مۇھەببەت=正面=6.890829824181068
11587-سەل تەس=正面=5.08433099501976
11621-ئەمدى بۇرۇنقى=中立=-0.5149329023019851
11643-ئاتا قىلىش=负面=-3.018223758618908
11674-ئىنكاس يازغان=中立=0.9782324923507542
11690-ئىش يوق=正面=7.09744782020641
11741-ياخشى كىتاب=正面=3.029667832873421
11750-ئادەم ئىدى=中立=0.7506525778878306
11755-يىلى ئ=正面=3.1251054098283104
11756-ن چوڭ=正面=9.857496842563982
11792-تەتقىق قىلىش=负面=-2.578455525681838
11875-ئاز بولسىمۇ=正面=14.624190481723216
11937-ياخشى ئەمەس=负面=-6.253395333583752
12020-ئەمەلىي كۈچى=中立=0.15142241521588318
12053-كىنو ئىكەن=负面=-1.9180681449200039
12090-ئېلان قىلىنىپ=正面=1.7716526454488442
12091-مۇنازىرە قوزغىغان=负面=-2.951456148041963
12352-ئەڭ قىممەت=正面=8.684879862416238
12357-كارىم يوق=正面=2.5626441212975615
12377-ۋاقىت بار=负面=-11.466687095693427
12508-دۇنيانى كۆرۈپ=中立=-0.3914605628373815
12527-دىققەت قىلمىسا=负面=-1.314108590428063
12544-بۇرۇندىن تارتىپ=正面=2.4011806986034454
12564-قا ئامراق=负面=-12.370458927974308
12583-سەۋەبى بولسا=正面=1.4977113069502392
12585-رازى بولىدۇ=负面=-8.936157587618403
12684-شى بولاتتى=正面=6.4168960550025975
12711-مۇكەممەل ئەمەس=正面=8.282290387018449
12807-تەدبىر قوللىنىپ=正面=5.447400724245999
12836-يامان بولۇپ=中立=-0.7164342837503535
12873-ناملىق رومان=中立=-0.3096436151073658
12937-خەۋەر بولسا=中立=0.037732647355107396
13003-دىققەت قىلىمەن=中立=-0.9303945325141338
13004-ئىملا خاتا=负面=-13.343297484868016
13005-خاتا بولۇپ=负面=-3.281664921950801
13144-ناخشىنى ئاڭلاپ=正面=1.0631037426016547
13245-ئوخشاش ئىكەن=正面=6.575621383771727
13422-ئېسىمدە قېلىشىچە=负面=-5.578938713093386
13490-ھەددىدىن زىيادە=正面=4.044599174204893
13511-چوڭ ئىشلار=负面=-4.091635792215417
13612-ئىش قىلغان=正面=12.302288923338857
13640-تىن باشلاپ=负面=-8.42523434353632
13739-كەن بولسا=正面=22.433030708616087
13809-ياخشى تىلەك=正面=11.411532098693637
13935-ئىشتىن سىرتقى=正面=1.7716526454488446
13987-چوڭ باي=负面=-2.357353190445525
14002-دەرىجىسى يۇقىرى=正面=14.259138421814145
14041-ئاسانغا چۈشمەيدۇ=正面=2.207361899511886
14049-ياخشى ئامال=正面=9.150494752736337
14103-ئاز قالدى=中立=0.5310956287424204
14156-ئاسان قىلغاي=正面=2.8069951925853776
14250-ھازىرقى ھالىتى=正面=1.1111439788999569
14268-ئىش بولسا=负面=-3.9977680073222377
14311-ئەڭ نادىر=正面=4.752362572544719
14533-كۆپ تىل=负面=-1.506959988719884
14547-ياخشى بولغاندىكىن=正面=4.000279429603992
14570-كۆك رەڭ=正面=13.671293171734384
14597-خۇدا ساقلىسۇن=负面=-3.0816671376495712
14612-ن قايتىپ=正面=5.440338664832398
14649-مىسى يوق=负面=-1.3725855602580523
14680-ھېس قىلدۇرۇش=正面=6.682940780509918
14722-ھەق ناھەق=负面=-1.7044695951772457
14828-ئالدىنقى شەرت=正面=8.234152681783248
14878-ئىشلارنى قىلدى=正面=2.7020471779629776
14928-ئىچىگە كىرىپ=负面=-2.03047958343306
14941-بارلىققا كېلىدۇ=正面=19.928568455106955
14965-خىلى كۆپ=负面=-5.9816358230491495
14969-چوڭ كىچىك=正面=12.737290555206382
15092-ناملىق فىلىمنى=中立=0.7170660367285011
15126-غايەت زور=中立=-0.471875446033466
15284-ھازىرقى دەۋردە=中立=-0.9418970454364324
15349-مۇئامىلە قىلىپ=负面=-4.264115768392049
15366-تەۋسىيە قىلاي=正面=1.472261721666607
15420-ئەھمىيەتكە ئىگە=正面=10.011332603265572
15465-شەكلى بولۇپ=正面=1.3247423260392428
15521-قانۇنغا خىلاپ=正面=5.467607665264684
15563-ئەمەلگە ئاشماي=正面=1.3337051779024023
15592-پۇل بار=正面=3.6608245152364653
15605-كۆڭۈل بۆلۈپ=正面=11.240144206935177
15627-گەپ قىلما=正面=3.7671808452165187
15724-كىتاپ ئوقۇش=正面=1.720459215076858
15748-چوڭ بولغىنى=负面=-3.2040600109003394
15809-گەپ قىلماي=正面=3.0724896978751204
15862-سۆز بولۇپ=负面=-1.8077600574492765
15904-ئوغۇل بالا=正面=10.058691475594935
15971-سىنى ياخشى=负面=-2.150420388672549
16013-يىل بوپتۇ=正面=6.903274106924044
16073-كۆڭلۈم يىرىم=中立=-0.37730485192373475
16122-رازى بول=负面=-2.786889755381935
16178-سىنى دەپ=正面=11.556374465347277
16179-ئاشىق بولۇپ=正面=8.756553108995357
16198-توي قىلسا=正面=12.019276220224675
16297-ئىچىم سىقىلدى=负面=-4.4314792493116215
16299-نەق مەيدان=正面=7.719032188204544
16331-ئىملا خاتالىقى=负面=-11.874037480185251
16385-خاتا ئىش=中立=-0.7164342837503535
16438-قوش تىل=正面=7.9579539578902665
16448-مۇسۇلمان بولغان=负面=-10.167039420385066
16455-گۈزەل ئەمەس=正面=3.135638338217232
16520-چىرايلىق ئەمەس=正面=4.927928585379304
