6:46:بەك ئامراق:37:1796:سەت:2:95581,95627
2109:46:كۆز قاراش:6:240:قالايمىقان:1:63325
2109:46:كۆز قاراش:8:21:ئاداۋەت:1:15292
2109:46:كۆز قاراش:28:552:خاتالىق:1:73902
2109:46:كۆز قاراش:37:1796:سەت:2:55456,70114
2113:24:ئۇيغۇر دىگەن:28:552:خاتالىق:5:64958,64961,64963,65000,65014
2119:18:يېڭى باش:27:401:ئاجىز:1:89137
2119:18:يېڭى باش:37:1796:سەت:1:89137
2123:19:رەھمەت ئېيتىمەن:37:1796:سەت:2:20422,20423
2167:15:گەپ قىلدىڭىز:27:401:ئاجىز:1:60104
2167:15:گەپ قىلدىڭىز:28:552:خاتالىق:1:60104
2181:12:بار بولدى:14:42:ئاۋارىچىلىق:1:83792
2220:16:قول سېلىپ:27:401:ئاجىز:1:16473
2224:2:ھەربىتى راھەت:22:177:قايغۇ:2:79571,84438
2226:1:شاتلىق كەلگىنى:22:177:قايغۇ:1:79571
2227:1:ھىكمەت قىلغۇسى:22:177:قايغۇ:1:79571
2228:4:جۇتنى باھار:22:177:قايغۇ:3:53080,79571,84438
2229:5:باھار بولمىسا:22:177:قايغۇ:5:53080,79571,88675,88676,88685
2230:1:ھىكمەت ئامىتىم:22:177:قايغۇ:1:79571
2231:6:ئامىتىم ئاپەت:22:177:قايغۇ:5:53080,79571,88675,88676,88685
2232:1:نىمىدىگەن پاساھەتلىك:22:177:قايغۇ:1:79571
2233:1:پاساھەتلىك تىللار:22:177:قايغۇ:1:79571
2235:3:خۇشال قىلىدىغان:22:177:قايغۇ:1:92914
2254:1:مەركىزىنىڭ ئېچىلىشى:37:1796:سەت:1:79956
2255:1:ئىشەنچ تۇيغۇسى:37:1796:سەت:1:79956
2256:1:پىكىرىنى دادىل:37:1796:سەت:1:79956
2257:1:دادىل بايان:37:1796:سەت:1:79956
2258:24:بايان قىلىش:6:240:قالايمىقان:1:77969
2258:24:بايان قىلىش:37:1796:سەت:2:57707,79956
2259:16:نامايەن قىلىش:5:59:ئازار:1:88863
2259:16:نامايەن قىلىش:37:1796:سەت:1:79956
2260:3:ئىقتىدارىنى يېتىلدۈرۈش:37:1796:سەت:1:79956
2261:33:كەم بولسا:37:1796:سەت:3:47048,79956,105884
2262:6:يېڭى گۈدۈكنى:37:1796:سەت:1:49261
2265:3:ياخشى بولىشىغا:37:1796:سەت:1:17971
2285:36:فىلىمنى كۆرۈپ:27:401:ئاجىز:2:34841,89341
2295:3:ھالەتكە چۈشۈپ:27:401:ئاجىز:1:13280
2306:143:ئېلان قىلغان:6:240:قالايمىقان:1:95985
2306:143:ئېلان قىلغان:18:68:زوراۋانلىق:1:86241
2306:143:ئېلان قىلغان:37:1796:سەت:6:26937,47442,59989,70249,71509,79200
2319:29:ھېس قىلىۋاتىمەن:27:401:ئاجىز:1:49820
2321:34:ئاز قالغان:28:552:خاتالىق:1:90886
2332:11:ئۆزىمىزدىن باشلايلى:28:552:خاتالىق:1:62432
2353:34:مەغلۇپ بولغان:20:9:مەغلۇپ بولۇش:1:82734
2353:34:مەغلۇپ بولغان:37:1796:سەت:1:103389
2357:20:تامامەن بولىدۇ:27:401:ئاجىز:1:29452
